content_filtered,3-gram
"['basa', 'basi', 'inti', 'oren', 'dunia']","[('basa', 'basi', 'inti'), ('basi', 'inti', 'oren'), ('inti', 'oren', 'dunia')]"
['seru'],[]
"['iklan', 'bab', 'dulunya', 'iklan', 'bab', 'update', 'waktu', 'masuk', 'lama']","[('iklan', 'bab', 'dulunya'), ('bab', 'dulunya', 'iklan'), ('dulunya', 'iklan', 'bab'), ('iklan', 'bab', 'update'), ('bab', 'update', 'waktu'), ('update', 'waktu', 'masuk'), ('waktu', 'masuk', 'lama')]"
"['sejak', 'bug', 'tutup', 'awal']","[('sejak', 'bug', 'tutup'), ('bug', 'tutup', 'awal')]"
"['baik', 'scroll', 'pustaka', 'awal', 'novel', 'update', 'beranda', 'awal', 'baik', 'bug']","[('baik', 'scroll', 'pustaka'), ('scroll', 'pustaka', 'awal'), ('pustaka', 'awal', 'novel'), ('awal', 'novel', 'update'), ('novel', 'update', 'beranda'), ('update', 'beranda', 'awal'), ('beranda', 'awal', 'baik'), ('awal', 'baik', 'bug')]"
"['login', 'tetapi']",[]
"['login', 'out', 'bug', 'baca', 'baik', 'suka', 'login', 'out', 'email', 'bug', 'error', 'login', 'out', 'baik']","[('login', 'out', 'bug'), ('out', 'bug', 'baca'), ('bug', 'baca', 'baik'), ('baca', 'baik', 'suka'), ('baik', 'suka', 'login'), ('suka', 'login', 'out'), ('login', 'out', 'email'), ('out', 'email', 'bug'), ('email', 'bug', 'error'), ('bug', 'error', 'login'), ('error', 'login', 'out'), ('login', 'out', 'baik')]"
"['akun', 'hilang', 'masuk', 'akun', 'error', 'baca', 'cerita', 'ehh', 'masuk', 'perbaikin', 'baca', 'gabisa', 'masuk']","[('akun', 'hilang', 'masuk'), ('hilang', 'masuk', 'akun'), ('masuk', 'akun', 'error'), ('akun', 'error', 'baca'), ('error', 'baca', 'cerita'), ('baca', 'cerita', 'ehh'), ('cerita', 'ehh', 'masuk'), ('ehh', 'masuk', 'perbaikin'), ('masuk', 'perbaikin', 'baca'), ('perbaikin', 'baca', 'gabisa'), ('baca', 'gabisa', 'masuk')]"
"['suka', 'baca', 'nyaman', 'ngawur', 'bug', 'tulis', 'hilang', 'waktu', 'cerita', 'update', 'keluar', 'kentang', 'dev', 'baik', 'nyaman', 'oh', 'bintang', 'kecewa']","[('suka', 'baca', 'nyaman'), ('baca', 'nyaman', 'ngawur'), ('nyaman', 'ngawur', 'bug'), ('ngawur', 'bug', 'tulis'), ('bug', 'tulis', 'hilang'), ('tulis', 'hilang', 'waktu'), ('hilang', 'waktu', 'cerita'), ('waktu', 'cerita', 'update'), ('cerita', 'update', 'keluar'), ('update', 'keluar', 'kentang'), ('keluar', 'kentang', 'dev'), ('kentang', 'dev', 'baik'), ('dev', 'baik', 'nyaman'), ('baik', 'nyaman', 'oh'), ('nyaman', 'oh', 'bintang'), ('oh', 'bintang', 'kecewa')]"
"['najis', 'keluar', 'akun', 'login', 'najis', 'cuh']","[('najis', 'keluar', 'akun'), ('keluar', 'akun', 'login'), ('akun', 'login', 'najis'), ('login', 'najis', 'cuh')]"
"['media', 'menya', 'lurk', 'an', 'bakat', 'gratis']","[('media', 'menya', 'lurk'), ('menya', 'lurk', 'an'), ('lurk', 'an', 'bakat'), ('an', 'bakat', 'gratis')]"
[],[]
"['ah', 'sampah', 'login', 'hina', 'login', 'sampah', 'bau', 'tulis', 'internet', 'wifi', 'mantap', 'poll', 'internet', 'buta', 'mata', 'mu', 'stres']","[('ah', 'sampah', 'login'), ('sampah', 'login', 'hina'), ('login', 'hina', 'login'), ('hina', 'login', 'sampah'), ('login', 'sampah', 'bau'), ('sampah', 'bau', 'tulis'), ('bau', 'tulis', 'internet'), ('tulis', 'internet', 'wifi'), ('internet', 'wifi', 'mantap'), ('wifi', 'mantap', 'poll'), ('mantap', 'poll', 'internet'), ('poll', 'internet', 'buta'), ('internet', 'buta', 'mata'), ('buta', 'mata', 'mu'), ('mata', 'mu', 'stres')]"
"['mes', 'suka', 'bug']","[('mes', 'suka', 'bug')]"
"['semenjak', 'cerita']",[]
